Property_ID,Prop_Type,Tax_Key,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Sale_Price_Target,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
209437,Commercial,4331230000,12,6277,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",3,0,0,3750,2022-02-23,200000.0,2.0,Brick,2.0,1923.0,0.0,5051.0,3.0,
209554,Commercial,4331727000,12,6277,"Store Building - Single tenant, 1 story",2,0,0,5000,2022-04-27,95000.0,0.0,Concrete Block,1.0,1897.0,0.0,5000.0,3.0,
210619,Commercial,4341802100,8,6277,Multi Story Warehouse,2,0,0,12600,2022-01-19,320000.0,3.0,Concrete Block,2.0,1927.0,0.0,6837.0,3.0,
210872,Commercial,4350203000,8,6274,"Store Building - Single tenant, 1 story",3,0,0,4500,2022-03-31,135000.0,1.0,Concrete Block,1.0,1951.0,0.0,2085.0,3.0,
211714,Commercial,4360002110,8,6274,Multi Story Warehouse,4,0,0,13939,2022-09-30,699000.0,6.0,Brick,2.0,1928.0,0.0,15000.0,3.0,
211786,Commercial,4360092000,8,6274,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2,0,0,3540,2022-09-30,230000.0,2.0,Alum/Vynyl Siding,2.0,1907.0,0.0,2200.0,3.0,
212351,Commercial,4570460100,8,6274,Tavern,4,0,0,7500,2022-06-03,320000.0,3.0,Metal Siding,1.0,1900.0,0.0,4117.0,3.0,
212443,Commercial,4579834000,8,6274,Sit Down Restaurant,2,0,0,7156,2022-09-29,187000.0,1.0,Brick,2.0,1930.0,0.0,2958.0,3.0,
213663,Commercial,4590511100,8,6278,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",1,0,0,6840,2022-07-22,275000.0,2.0,Alum/Vynyl Siding,1.0,1897.0,0.0,2531.0,3.0,
215286,Commercial,4610525110,12,6278,Auto & Auto Body Repair,1,0,0,6960,2022-07-26,150000.0,1.0,Other,1.0,1951.0,0.0,1798.0,3.0,
215480,Commercial,4610762000,12,6278,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2,0,0,2475,2022-05-27,115000.0,1.0,Brick,2.0,1909.0,0.0,2842.0,3.0,
216004,Commercial,4620285111,12,6417,"Bank, Savings & Loan",3,0,0,24500,2022-02-25,785000.0,7.0,Brick,1.0,1962.0,0.0,11682.0,3.0,
217951,Commercial,4681711000,12,6281,Super Market,1,0,0,16374,2022-05-31,950000.0,9.0,Concrete Block,1.0,1981.0,0.0,9020.0,3.0,
219167,Commercial,4700430000,8,6281,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2,0,0,2275,2022-04-18,127500.0,1.0,Brick,2.0,1908.0,0.0,2970.0,3.0,
219725,Commercial,4702717000,8,6278,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",6,0,0,6649,2022-08-17,218500.0,2.0,Brick,2.0,1905.0,0.0,3280.0,3.0,
220173,Commercial,4710079000,8,6274,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",7,0,0,3335,2022-10-14,400000.0,4.0,Brick,2.0,1934.0,0.0,6476.0,3.0,
